Datetime MST,Load
2022-03-01 00:15:00,85.38
2022-03-01 00:30:00,82.81
2022-03-01 00:45:00,81.88
2022-03-01 01:00:00,76.5
2022-03-01 01:15:00,76.75
2022-03-01 01:30:00,79.63
2022-03-01 01:45:00,77.83
2022-03-01 02:00:00,78.0
2022-03-01 02:15:00,84.38
2022-03-01 02:30:00,86.71
2022-03-01 02:45:00,90.75
2022-03-01 03:00:00,84.25
2022-03-01 03:15:00,87.42
2022-03-01 03:30:00,100.88
2022-03-01 03:45:00,93.38
2022-03-01 04:00:00,93.38
2022-03-01 04:15:00,39.63
2022-03-01 04:30:00,35.38
2022-03-01 04:45:00,37.88
2022-03-01 05:00:00,33.75
2022-03-01 05:15:00,40.81
2022-03-01 05:30:00,41.0
2022-03-01 05:45:00,37.38
2022-03-01 06:00:00,34.42
2022-03-01 06:15:00,35.38
2022-03-01 06:30:00,36.19
2022-03-01 06:45:00,37.88
2022-03-01 07:00:00,33.38
2022-03-01 07:15:00,38.38
2022-03-01 07:30:00,37.31
2022-03-01 07:45:00,36.75
2022-03-01 08:00:00,43.63
2022-03-01 08:15:00,28.69
2022-03-01 08:30:00,31.13
2022-03-01 08:45:00,45.0
2022-03-01 09:00:00,50.79
2022-03-01 09:15:00,70.69
2022-03-01 09:30:00,109.69
2022-03-01 09:45:00,139.88
2022-03-01 10:00:00,152.38
2022-03-01 10:15:00,164.38
2022-03-01 10:30:00,154.0
2022-03-01 10:45:00,164.44
2022-03-01 11:00:00,160.0
2022-03-01 11:15:00,150.5
2022-03-01 11:30:00,141.25
2022-03-01 11:45:00,140.5
2022-03-01 12:00:00,153.0
2022-03-01 12:15:00,142.71
2022-03-01 12:30:00,143.63
2022-03-01 12:45:00,155.38
2022-03-01 13:00:00,148.63
2022-03-01 13:15:00,162.13
2022-03-01 13:30:00,165.63
2022-03-01 13:45:00,174.63
2022-03-01 14:00:00,163.71
2022-03-01 14:15:00,167.63
2022-03-01 14:30:00,148.88
2022-03-01 14:45:00,144.06
2022-03-01 15:00:00,142.75
2022-03-01 15:15:00,125.17
2022-03-01 15:30:00,130.13
2022-03-01 15:45:00,130.13
2022-03-01 16:00:00,109.58
2022-03-01 16:15:00,106.5
2022-03-01 16:30:00,112.25
2022-03-01 16:45:00,106.42
2022-03-01 17:00:00,106.42
2022-03-01 17:15:00,106.42
2022-03-01 17:30:00,118.13
2022-03-01 17:45:00,127.81
2022-03-01 18:00:00,126.75
2022-03-01 18:15:00,129.88
2022-03-01 18:30:00,131.44
2022-03-01 18:45:00,131.44
2022-03-01 19:00:00,131.44
2022-03-01 19:15:00,131.44
2022-03-01 19:30:00,150.58
2022-03-01 19:45:00,152.5
2022-03-01 20:00:00,152.5
2022-03-01 20:15:00,152.5
2022-03-01 20:30:00,152.5
2022-03-01 20:45:00,155.69
2022-03-01 21:00:00,155.69
2022-03-01 21:15:00,146.38
2022-03-01 21:30:00,149.25
2022-03-01 21:45:00,163.69
2022-03-01 22:00:00,158.75
2022-03-01 22:15:00,161.25
2022-03-01 22:30:00,186.5
2022-03-01 22:45:00,186.5
2022-03-01 23:00:00,122.0
2022-03-01 23:15:00,122.0
2022-03-01 23:30:00,110.13
2022-03-01 23:45:00,97.94
2022-03-02 00:00:00,133.81
2022-03-02 00:15:00,106.88
2022-03-02 00:30:00,95.88
2022-03-02 00:45:00,103.94
2022-03-02 01:00:00,106.06
2022-03-02 01:15:00,94.58
2022-03-02 01:30:00,88.13
2022-03-02 01:45:00,87.96
2022-03-02 02:00:00,92.38
2022-03-02 02:15:00,89.5
2022-03-02 02:30:00,90.92
2022-03-02 02:45:00,90.5
2022-03-02 03:00:00,93.69
2022-03-02 03:15:00,98.75
2022-03-02 03:30:00,99.88
2022-03-02 03:45:00,99.5
2022-03-02 04:00:00,99.5
2022-03-02 04:15:00,62.5
2022-03-02 04:30:00,59.19
2022-03-02 04:45:00,59.63
2022-03-02 05:00:00,59.63
2022-03-02 05:15:00,49.81
2022-03-02 05:30:00,37.63
2022-03-02 05:45:00,37.56
2022-03-02 06:00:00,37.5
2022-03-02 06:15:00,39.75
2022-03-02 06:30:00,38.17
2022-03-02 06:45:00,36.38
2022-03-02 07:00:00,36.44
2022-03-02 07:15:00,32.88
2022-03-02 07:30:00,35.38
2022-03-02 07:45:00,27.25
2022-03-02 08:00:00,33.0
2022-03-02 08:15:00,28.5
2022-03-02 08:30:00,28.88
2022-03-02 08:45:00,29.13
2022-03-02 09:00:00,43.56
2022-03-02 09:15:00,53.63
2022-03-02 09:30:00,70.25
2022-03-02 09:45:00,103.81
2022-03-02 10:00:00,114.69
2022-03-02 10:15:00,146.5
2022-03-02 10:30:00,142.13
2022-03-02 10:45:00,143.5
2022-03-02 11:00:00,136.81
2022-03-02 11:15:00,139.0
2022-03-02 11:30:00,118.88
2022-03-02 11:45:00,130.31
2022-03-02 12:00:00,131.5
2022-03-02 12:15:00,0.0
2022-03-02 12:30:00,0.0
2022-03-02 12:45:00,143.69
2022-03-02 13:00:00,134.69
2022-03-02 13:15:00,145.88
2022-03-02 13:30:00,140.96
2022-03-02 13:45:00,131.06
2022-03-02 14:00:00,108.75
2022-03-02 14:15:00,0.0
2022-03-02 14:30:00,0.0
2022-03-02 14:45:00,112.69
2022-03-02 15:00:00,116.88
2022-03-02 15:15:00,117.19
2022-03-02 15:30:00,103.75
2022-03-02 15:45:00,119.44
2022-03-02 16:00:00,119.44
2022-03-02 16:15:00,119.44
2022-03-02 16:30:00,124.88
2022-03-02 16:45:00,134.0
2022-03-02 17:00:00,129.25
2022-03-02 17:15:00,129.31
2022-03-02 17:30:00,129.31
2022-03-02 17:45:00,129.31
2022-03-02 18:00:00,129.31
2022-03-02 18:15:00,121.38
2022-03-02 18:30:00,140.38
2022-03-02 18:45:00,148.56
2022-03-02 19:00:00,126.75
2022-03-02 19:15:00,184.25
2022-03-02 19:30:00,152.19
2022-03-02 19:45:00,152.19
2022-03-02 20:00:00,152.19
2022-03-02 20:15:00,149.06
2022-03-02 20:30:00,149.06
2022-03-02 20:45:00,140.94
2022-03-02 21:00:00,131.75
2022-03-02 21:15:00,166.19
2022-03-02 21:30:00,166.19
2022-03-02 21:45:00,166.19
2022-03-02 22:00:00,139.25
2022-03-02 22:15:00,150.75
2022-03-02 22:30:00,154.13
2022-03-02 22:45:00,107.44
2022-03-02 23:00:00,98.56
2022-03-02 23:15:00,99.81
2022-03-02 23:30:00,94.44
2022-03-02 23:45:00,80.88
2022-03-03 00:00:00,86.75
2022-03-03 00:15:00,82.88
2022-03-03 00:30:00,74.13
2022-03-03 00:45:00,85.94
2022-03-03 01:00:00,75.54
2022-03-03 01:15:00,75.25
2022-03-03 01:30:00,61.75
2022-03-03 01:45:00,62.63
2022-03-03 02:00:00,66.63
2022-03-03 02:15:00,61.0
2022-03-03 02:30:00,61.13
2022-03-03 02:45:00,62.88
2022-03-03 03:00:00,67.06
2022-03-03 03:15:00,58.5
2022-03-03 03:30:00,64.0
2022-03-03 03:45:00,72.5
2022-03-03 04:00:00,45.31
2022-03-03 04:15:00,39.92
2022-03-03 04:30:00,39.31
2022-03-03 04:45:00,39.81
2022-03-03 05:00:00,38.13
2022-03-03 05:15:00,33.63
2022-03-03 05:30:00,34.31
2022-03-03 05:45:00,35.13
2022-03-03 06:00:00,36.44
2022-03-03 06:15:00,32.5
2022-03-03 06:30:00,35.75
2022-03-03 06:45:00,45.0
2022-03-03 07:00:00,37.13
2022-03-03 07:15:00,35.5
2022-03-03 07:30:00,34.19
2022-03-03 07:45:00,36.63
2022-03-03 08:00:00,49.56
2022-03-03 08:15:00,36.5
2022-03-03 08:30:00,34.21
2022-03-03 08:45:00,36.81
2022-03-03 09:00:00,33.63
2022-03-03 09:15:00,46.13
2022-03-03 09:30:00,48.5
2022-03-03 09:45:00,65.08
2022-03-03 10:00:00,64.88
2022-03-03 10:15:00,87.5
2022-03-03 10:30:00,85.54
2022-03-03 10:45:00,107.5
2022-03-03 11:00:00,90.67
2022-03-03 11:15:00,83.81
2022-03-03 11:30:00,81.63
2022-03-03 11:45:00,79.88
2022-03-03 12:00:00,76.94
2022-03-03 12:15:00,79.63
2022-03-03 12:30:00,100.81
2022-03-03 12:45:00,84.69
2022-03-03 13:00:00,79.94
2022-03-03 13:15:00,84.88
2022-03-03 13:30:00,102.94
2022-03-03 13:45:00,98.0
2022-03-03 14:00:00,121.0
2022-03-03 14:15:00,103.5
2022-03-03 14:30:00,103.5
2022-03-03 14:45:00,103.5
2022-03-03 15:00:00,103.5
2022-03-03 15:15:00,110.75
2022-03-03 15:30:00,110.75
2022-03-03 15:45:00,96.5
2022-03-03 16:00:00,120.5
2022-03-03 16:15:00,126.25
2022-03-03 16:30:00,128.13
2022-03-03 16:45:00,112.81
2022-03-03 17:00:00,126.5
2022-03-03 17:15:00,126.5
2022-03-03 17:30:00,126.5
2022-03-03 17:45:00,126.5
2022-03-03 18:00:00,142.83
2022-03-03 18:15:00,146.38
2022-03-03 18:30:00,161.5
2022-03-03 18:45:00,162.25
2022-03-03 19:00:00,143.31
2022-03-03 19:15:00,143.31
2022-03-03 19:30:00,143.31
2022-03-03 19:45:00,143.31
2022-03-03 20:00:00,160.25
2022-03-03 20:15:00,152.81
2022-03-03 20:30:00,172.13
2022-03-03 20:45:00,146.13
2022-03-03 21:00:00,168.75
2022-03-03 21:15:00,154.13
2022-03-03 21:30:00,151.88
2022-03-03 21:45:00,184.69
2022-03-03 22:00:00,161.5
2022-03-03 22:15:00,135.63
2022-03-03 22:30:00,133.25
