Datetime MST,Load
3/1/2022 0:15,85.38
3/1/2022 0:30,82.81
3/1/2022 0:45,81.88
3/1/2022 1:00,76.5
3/1/2022 1:15,76.75
3/1/2022 1:30,79.63
3/1/2022 1:45,77.83
3/1/2022 2:00,78
3/1/2022 2:15,84.38
3/1/2022 2:30,86.71
3/1/2022 2:45,90.75
3/1/2022 3:00,84.25
3/1/2022 3:15,87.42
3/1/2022 3:30,100.88
3/1/2022 3:45,93.38
3/1/2022 4:00,93.38
3/1/2022 4:15,39.63
3/1/2022 4:30,35.38
3/1/2022 4:45,37.88
3/1/2022 5:00,33.75
3/1/2022 5:15,40.81
3/1/2022 5:30,41
3/1/2022 5:45,37.38
3/1/2022 6:00,34.42
3/1/2022 6:15,35.38
3/1/2022 6:30,36.19
3/1/2022 6:45,37.88
3/1/2022 7:00,33.38
3/1/2022 7:15,38.38
3/1/2022 7:30,37.31
3/1/2022 7:45,36.75
3/1/2022 8:00,43.63
3/1/2022 8:15,28.69
3/1/2022 8:30,31.13
3/1/2022 8:45,45
3/1/2022 9:00,50.79
3/1/2022 9:15,70.69
3/1/2022 9:30,109.69
3/1/2022 9:45,139.88
3/1/2022 10:00,152.38
3/1/2022 10:15,164.38
3/1/2022 10:30,154
3/1/2022 10:45,164.44
3/1/2022 11:00,160
3/1/2022 11:15,150.5
3/1/2022 11:30,141.25
3/1/2022 11:45,140.5
3/1/2022 12:00,153
3/1/2022 12:15,142.71
3/1/2022 12:30,143.63
3/1/2022 12:45,155.38
3/1/2022 13:00,148.63
3/1/2022 13:15,162.13
3/1/2022 13:30,165.63
3/1/2022 13:45,174.63
3/1/2022 14:00,163.71
3/1/2022 14:15,167.63
3/1/2022 14:30,148.88
3/1/2022 14:45,144.06
3/1/2022 15:00,142.75
3/1/2022 15:15,125.17
3/1/2022 15:30,130.13
3/1/2022 15:45,130.13
3/1/2022 16:00,109.58
3/1/2022 16:15,106.5
3/1/2022 16:30,112.25
3/1/2022 16:45,106.42
3/1/2022 17:00,106.42
3/1/2022 17:15,106.42
3/1/2022 17:30,118.13
3/1/2022 17:45,127.81
3/1/2022 18:00,126.75
3/1/2022 18:15,129.88
3/1/2022 18:30,131.44
3/1/2022 18:45,131.44
3/1/2022 19:00,131.44
3/1/2022 19:15,131.44
3/1/2022 19:30,150.58
3/1/2022 19:45,152.5
3/1/2022 20:00,152.5
3/1/2022 20:15,152.5
3/1/2022 20:30,152.5
3/1/2022 20:45,155.69
3/1/2022 21:00,155.69
3/1/2022 21:15,146.38
3/1/2022 21:30,149.25
3/1/2022 21:45,163.69
3/1/2022 22:00,158.75
3/1/2022 22:15,161.25
3/1/2022 22:30,186.5
