Datetime EST,Load
1/5/2023 0:00,133.06
1/5/2023 0:15,132.13
1/5/2023 0:30,131.63
1/5/2023 0:45,132.25
1/5/2023 1:00,131.5
1/5/2023 1:15,130.63
1/5/2023 1:30,130.25
1/5/2023 1:45,130.75
1/5/2023 2:00,129.88
1/5/2023 2:15,130.25
1/5/2023 2:30,130.38
1/5/2023 2:45,129.25
1/5/2023 3:00,128.88
1/5/2023 3:15,128.63
1/5/2023 3:30,129
1/5/2023 3:45,127.44
1/5/2023 4:00,127.44
1/5/2023 4:15,126.31
1/5/2023 4:30,125.94
1/5/2023 4:45,124.94
1/5/2023 5:00,127.75
1/5/2023 5:15,126.94
1/5/2023 5:30,126
1/5/2023 5:45,125.25
1/5/2023 6:00,125.5
1/5/2023 6:15,124.75
1/5/2023 6:30,125.31
1/5/2023 6:45,124.38
1/5/2023 7:00,125.25
1/5/2023 7:15,125.13
1/5/2023 7:30,123.75
1/5/2023 7:45,123.58
1/5/2023 8:00,125.88
1/5/2023 8:15,124.38
1/5/2023 8:30,123.75
1/5/2023 8:45,124
1/5/2023 9:00,124.06
1/5/2023 9:15,123.38
1/5/2023 9:30,123.75
1/5/2023 9:45,126.56
1/5/2023 10:00,121.69
1/5/2023 10:15,121.81
1/5/2023 10:30,121.13
1/5/2023 10:45,121.5
1/5/2023 11:00,121.38
1/5/2023 11:15,120.91
1/5/2023 11:30,120.13
1/5/2023 11:45,120.38
1/5/2023 12:00,121.13
1/5/2023 12:15,120
1/5/2023 12:30,121
1/5/2023 12:45,120.06
1/5/2023 13:00,120.63
1/5/2023 13:15,120.69
1/5/2023 13:30,121.25
1/5/2023 13:45,121.13
1/5/2023 14:00,122
1/5/2023 14:15,122.5
1/5/2023 14:30,123.56
1/5/2023 14:45,123.25
1/5/2023 15:00,124.25
1/5/2023 15:15,129
1/5/2023 15:30,129
1/5/2023 15:45,131.13
1/5/2023 16:00,132.5
1/5/2023 16:15,135.06
1/5/2023 16:30,135.56
1/5/2023 16:45,135.44
1/5/2023 17:00,136.19
1/5/2023 17:15,130
1/5/2023 17:30,127.88
1/5/2023 17:45,127.63
1/5/2023 18:00,126
1/5/2023 18:15,123.81
1/5/2023 18:30,122.63
1/5/2023 18:45,121.54
1/5/2023 19:00,119.5
1/5/2023 19:15,118.88
1/5/2023 19:30,118.5
1/5/2023 19:45,121.13
1/5/2023 20:00,120.38
1/5/2023 20:15,120.81
1/5/2023 20:30,93.88
1/5/2023 20:45,99.06
1/5/2023 21:00,107.38
1/5/2023 21:15,108
1/5/2023 21:30,107.13
1/5/2023 21:45,106
1/5/2023 22:00,106.81
1/5/2023 22:15,106.31
1/5/2023 22:30,103.63
1/5/2023 22:45,102
1/5/2023 23:00,100.63
1/5/2023 23:15,102.88
1/5/2023 23:30,101.5
1/5/2023 23:45,103.06
1/6/2023 0:00,102.13
1/6/2023 0:15,102.75
1/6/2023 0:30,100.69
1/6/2023 0:45,101.88
1/6/2023 1:00,98.38
1/6/2023 1:15,97.19
1/6/2023 1:30,96.38
1/6/2023 1:45,94.5
1/6/2023 2:00,93.38
1/6/2023 2:15,93.69
1/6/2023 2:30,92.88
1/6/2023 2:45,92.19
1/6/2023 3:00,91.88
1/6/2023 3:15,92.06
